"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali"
2019-09-25,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-09-25,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,1,7
2019-09-25,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-09-25,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-09-25,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-09-25,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,5
2019-09-25,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-09-25,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-09-25,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-09-25,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-09-25,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
2019-10-02,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2019-10-02,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
2019-10-02,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
2019-10-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,7
2019-10-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-10-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,7
2019-10-02,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-10-02,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-10-02,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-10-02,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
2019-10-02,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-10-02,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,2,2
2019-10-02,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-10-02,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-10-02,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-10-02,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,3
2019-10-09,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2019-10-09,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
2019-10-09,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
2019-10-09,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,7
2019-10-09,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-10-09,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,1,8
2019-10-09,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-10-09,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-10-09,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-10-09,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,1,1
2019-10-09,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
2019-10-09,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-10-09,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,2
2019-10-09,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-10-09,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-10-09,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-10-09,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,3
2019-10-16,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2019-10-16,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
2019-10-16,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
2019-10-16,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,7
2019-10-16,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,1,1
2019-10-16,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-10-16,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,8
2019-10-16,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-10-16,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-10-16,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-10-16,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,0,1
2019-10-16,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
2019-10-16,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-10-16,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,2
2019-10-16,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-10-16,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-10-16,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-10-16,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,3
2019-10-23,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2019-10-23,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
2019-10-23,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
2019-10-23,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,7
2019-10-23,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0,1
2019-10-23,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-10-23,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,8
2019-10-23,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-10-23,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-10-23,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-10-23,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,0,1
2019-10-23,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
2019-10-23,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-10-23,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,2
2019-10-23,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-10-23,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-10-23,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-10-23,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,3
2019-10-30,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2019-10-30,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
2019-10-30,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
2019-10-30,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,7
2019-10-30,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0,1
2019-10-30,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2019-10-30,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,8
2019-10-30,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,4
2019-10-30,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,4
2019-10-30,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,1
2019-10-30,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,0,1
2019-10-30,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
2019-10-30,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,2
2019-10-30,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,2
2019-10-30,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2019-10-30,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2019-10-30,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,4
2019-10-30,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,3
2019-11-06,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
